Calendar_Year,Calendar_Month,Date,Date_Value,Mode,Agency
2022,4,Apr-22,2022.33,Trolley,SEPTA
2022,5,May-22,2022.42,Bus,SEPTA
2022,5,May-22,2022.42,CCT,SEPTA
2022,5,May-22,2022.42,Heavy Rail,SEPTA
2022,5,May-22,2022.42,Regional Rail,SEPTA
2022,5,May-22,2022.42,Trackless Trolley,SEPTA
2022,5,May-22,2022.42,Trolley,SEPTA
2022,6,Jun-22,2022.50,Bus,SEPTA
2022,6,Jun-22,2022.50,CCT,SEPTA
2022,6,Jun-22,2022.50,Heavy Rail,SEPTA
2022,6,Jun-22,2022.50,Regional Rail,SEPTA
2022,6,Jun-22,2022.50,Trackless Trolley,SEPTA
2022,6,Jun-22,2022.50,Trolley,SEPTA
2022,7,Jul-22,2022.58,Bus,SEPTA
2022,7,Jul-22,2022.58,CCT,SEPTA
2022,7,Jul-22,2022.58,Heavy Rail,SEPTA
2022,7,Jul-22,2022.58,Regional Rail,SEPTA
2022,7,Jul-22,2022.58,Trackless Trolley,SEPTA
2022,7,Jul-22,2022.58,Trolley,SEPTA
2022,8,Aug-22,2022.67,Bus,SEPTA
2022,8,Aug-22,2022.67,CCT,SEPTA
2022,8,Aug-22,2022.67,Heavy Rail,SEPTA
2022,8,Aug-22,2022.67,Regional Rail,SEPTA
2022,8,Aug-22,2022.67,Trackless Trolley,SEPTA
2022,8,Aug-22,2022.67,Trolley,SEPTA
2022,9,Sep-22,2022.75,Bus,SEPTA
2022,9,Sep-22,2022.75,CCT,SEPTA
2022,9,Sep-22,2022.75,Heavy Rail,SEPTA
2022,9,Sep-22,2022.75,Regional Rail,SEPTA
2022,9,Sep-22,2022.75,Trackless Trolley,SEPTA
2022,9,Sep-22,2022.75,Trolley,SEPTA
2022,10,Oct-22,2022.83,Bus,SEPTA
2022,10,Oct-22,2022.83,CCT,SEPTA
2022,10,Oct-22,2022.83,Heavy Rail,SEPTA
2022,10,Oct-22,2022.83,Regional Rail,SEPTA
2022,10,Oct-22,2022.83,Trackless Trolley,SEPTA
2022,10,Oct-22,2022.83,Trolley,SEPTA
2022,11,Nov-22,2022.92,Bus,SEPTA
2022,11,Nov-22,2022.92,CCT,SEPTA
2022,11,Nov-22,2022.92,Heavy Rail,SEPTA
2022,11,Nov-22,2022.92,Regional Rail,SEPTA
2022,11,Nov-22,2022.92,Trackless Trolley,SEPTA
2022,11,Nov-22,2022.92,Trolley,SEPTA
2022,12,Dec-22,2023.00,Bus,SEPTA
2022,12,Dec-22,2023.00,CCT,SEPTA
2022,12,Dec-22,2023.00,Heavy Rail,SEPTA
2022,12,Dec-22,2023.00,Regional Rail,SEPTA
2022,12,Dec-22,2023.00,Trackless Trolley,SEPTA
2022,12,Dec-22,2023.00,Trolley,SEPTA
2023,1,Jan-23,2023.08,Bus,SEPTA
2023,1,Jan-23,2023.08,CCT,SEPTA
2023,1,Jan-23,2023.08,Heavy Rail,SEPTA
2023,1,Jan-23,2023.08,Regional Rail,SEPTA
2023,1,Jan-23,2023.08,Trackless Trolley,SEPTA
2023,1,Jan-23,2023.08,Trolley,SEPTA
2023,2,Feb-23,2023.17,Bus,SEPTA
2023,2,Feb-23,2023.17,CCT,SEPTA
2023,2,Feb-23,2023.17,Heavy Rail,SEPTA
2023,2,Feb-23,2023.17,Regional Rail,SEPTA
2023,2,Feb-23,2023.17,Trackless Trolley,SEPTA
2023,2,Feb-23,2023.17,Trolley,SEPTA
2023,3,Mar-23,2023.25,Bus,SEPTA
